lang,dict_size,dict_sha256,dict_name,dict_summary,dict_license
ca_ES,349458,25f69de48b8f1560849cd6059bb683753a75d0c26bf897f98a18aeb67b1d57c6,,,
cs_CZ,898043,508da7f75cbb0d9ed68b985ef6af29cd4cda0f3022c7eb2ed52b1f4e2545e298,,,
de_DE,1026845,ebee9f3529be6d8e3eed986b6ee2273129291a56235aa78afda33272a17a34e4,,,
el_GR,3405537,1df9e3c78d921d1f715d1b860f0b6c1611b7e797727bb4b55a40c249f5f7ab2d,,,
en_GB,235180,a0ff2646dd1347f7c66542644b498dd47e6cb2549d28ca40faff74d94960a600,,,
en_US,175804,6aecd8f6da7d69203f9457cb6b8757b8731b07ccd46bdb1f8edbe1cbfb1dfef7,,,
es_ES,273924,94d179f58cb916ed0960e6b7c9c97b35dd1dc91515d445f1840e9e9a347f9b9d,,,
fr_FR,370998,a8280881e8dfa53e50af3706d7239cbde582d9f3241b6b86c87fd76aace65c90,,,
hr_HR,1153305,4de12f2f085346f3a176ef72157a3cfdc1c123c56543e76e32d38d9640179be9,,,
it_IT,358760,e6731da7390788b6fd6fd3ef904ede34677caefc3cc6eb3bbaf47e0bbf695099,,,
km_KH,344286,c0246a0cc884468659424da0add925f656d7300dda3d6c1fb377aa7b022ba6ec,,,
lt_LT,345728,e63bb925685e7c84eddde08afd908f8bdec8ae65d9f6af4f079b226c4de43a67,,,
nl_NL,631478,b6426849bb040b3784e023f2ea8774751f4e5fda197e931ae9390be6f0c515c1,,,
pl_PL,2068424,5cf948bc2e9a455299a48dd0e3c9c5407f02c0df7c0f7a61c1c352849827966d,,,
pt_BR,234511,e65a4cb9cdb7caa59a99a385bd170382b89982bd67e40fb394337a43262f8a91,,,
pt_PT,256203,c46195acaf8c63f6c52c84b09d999b094bd6a984d4fd70aefa7318a4fd59c0f0,,,
ro_RO,595693,90883d0c1ef3781a237e3cba988201ecb90b495829e0f821b76b50d063a4d896,,,
ru_RU,776164,33c2941bc5edabd467ec86ba1004b7c2218c66b5e70e6bb1fa9c6c9980afa119,,,
sk_SK,750750,65da18c14a2d6a6426974849cba8d21671492690cbaea295690d65d03388b251,,,
sv_SE,629214,b427528ee026112f19625c47a843661e07ee2de0dec90a4ad33725a464930af7,,,
tr_TR,3340717,10d64a7c6fb8ea7ea2ac8bc2e797b93ef21d875a15f1536f8abb5ca8fecce83b,,,
uk_UA,544265,fb77d5b447c28eb9fcbea957fd77e25ad41d34fb89a3752c833c4e58af50dcbe,,,
